resource_id,resource_type,region,instance_type,owner_tag,creation_time,status,anomaly_type,cost_per_hour,provider
/subscriptions/sub-abc/resourceGroups/rg-67cd5a/providers/Microsoft.Compute/virtualMachines/vm-67cd5ae9,VirtualMachine,southeastasia,Standard_D8s_v3,unknown,2026-02-09T18:14,running,over_provisioned,0.384,azure
i-a5441d6e174544c38,EC2,ap-southeast-1,m5.4xlarge,data-engineering,2026-02-15T11:14,running,over_provisioned,0.768,aws
/subscriptions/sub-abc/resourceGroups/rg-9c6bf5/providers/Microsoft.Compute/virtualMachines/vm-9c6bf5d8,VirtualMachine,westeurope,Standard_D8s_v3,abandoned-project,2026-03-03T16:14,running,over_provisioned,0.384,azure
projects/cloudguard-demo/zones/us-central1-a/instances/instance-bb7f70b0,ComputeInstance,us-central1,a2-highgpu-1g,finance-analytics,2026-02-10T02:14,running,over_provisioned,3.673,gcp
i-fc67dbc4cded4d60a,EC2,eu-west-1,g4dn.xlarge,research-lab,2026-03-01T10:14,running,idle_gpu,0.526,aws
/subscriptions/sub-abc/resourceGroups/rg-43ce05/providers/Microsoft.Compute/virtualMachines/vm-43ce05d6,VirtualMachine,eastus,Standard_NC6,unknown,2026-03-08T12:14,running,idle_gpu,0.9,azure
/subscriptions/sub-abc/resourceGroups/rg-3d90d0/providers/Microsoft.Compute/virtualMachines/vm-3d90d09b,VirtualMachine,brazilsouth,Standard_NC6,finance-analytics,2026-02-14T11:14,running,idle_gpu,0.9,azure
projects/cloudguard-demo/zones/us-central1-a/instances/instance-87fa595e,ComputeInstance,us-central1,a2-highgpu-1g,abandoned-project,2026-02-14T20:14,running,idle_gpu,3.673,gcp
/subscriptions/sub-abc/resourceGroups/rg-cc35ae/providers/Microsoft.Compute/virtualMachines/vm-cc35ae8b,VirtualMachine,southeastasia,Standard_NC6,devops,2026-02-27T18:14,running,idle_gpu,0.9,azure
/subscriptions/sub-abc/resourceGroups/rg-95d46e/providers/Microsoft.Compute/virtualMachines/vm-95d46e2f,VirtualMachine,westeurope,Standard_NC6,unknown,2025-09-24T22:14,running,orphaned_resource,0.9,azure
/subscriptions/sub-abc/resourceGroups/rg-378f71/providers/Microsoft.Compute/virtualMachines/vm-378f71df,VirtualMachine,brazilsouth,Standard_ND40rs_v2,temp-infra,2025-12-24T22:14,running,orphaned_resource,22.032,azure
/subscriptions/sub-abc/resourceGroups/rg-830ec9/providers/Microsoft.Compute/virtualMachines/vm-830ec93e,VirtualMachine,westeurope,Standard_D2s_v3,abandoned-project,2025-12-18T08:14,running,orphaned_resource,0.096,azure
/subscriptions/sub-abc/resourceGroups/rg-de67bf/providers/Microsoft.Compute/virtualMachines/vm-de67bf96,VirtualMachine,southeastasia,Standard_D4s_v3,unknown,2025-12-10T12:14,running,orphaned_resource,0.192,azure
i-a08ae1ca4e174374b,EC2,us-west-2,c5.2xlarge,research-lab,2026-03-05T18:14,running,cost_spike,0.34,aws
projects/cloudguard-demo/zones/us-central1-a/instances/instance-23efba2c,ComputeInstance,southamerica-east1,e2-micro,devops,2026-03-08T12:14,running,cost_spike,0.0084,gcp
projects/cloudguard-demo/zones/us-central1-a/instances/instance-8c36db4c,ComputeInstance,europe-west1,a2-highgpu-4g,abandoned-project,2026-03-07T10:14,running,cost_spike,14.692,gcp
i-e1a9b8aa63434dfc9,EC2,sa-east-1,p3.2xlarge,abandoned-project,2026-02-27T17:14,running,cryptomining,3.06,aws
i-fc26e047ea114e4b9,EC2,ap-southeast-1,p3.2xlarge,temp-infra,2026-03-02T00:14,running,cryptomining,3.06,aws
i-5f545a92afe640398,EC2,sa-east-1,c5.xlarge,abandoned-project,2026-02-19T13:14,running,abnormal_egress,0.17,aws
projects/cloudguard-demo/zones/us-central1-a/instances/instance-a837c92c,ComputeInstance,us-central1,n1-standard-4,research-lab,2026-02-10T02:14,running,abnormal_egress,0.19,gcp
i-bea5dace26704cf1a,EC2,us-west-2,m5.large,ml-team,2026-02-27T23:14,running,abnormal_egress,0.096,aws
projects/cloudguard-demo/zones/us-central1-a/instances/instance-39ee5455,ComputeInstance,europe-west1,a2-highgpu-1g,unknown,2026-02-21T08:14,running,zombie_load_balancer,3.673,gcp
i-e944dfb6ef6a4660b,EC2,us-west-2,t3.small,backend-services,2026-02-18T14:14,running,zombie_load_balancer,0.0208,aws
i-e207457cc51f4edb8,EC2,us-west-2,t3.small,temp-infra,2026-02-15T18:14,running,zombie_load_balancer,0.0208,aws
projects/cloudguard-demo/zones/us-central1-a/instances/instance-cfe59f08,ComputeInstance,southamerica-east1,n1-highmem-8,backend-services,2026-02-19T05:14,running,reserved_waste,0.402,gcp
projects/cloudguard-demo/zones/us-central1-a/instances/instance-631739b1,ComputeInstance,europe-west1,n1-highmem-8,research-lab,2026-03-07T02:14,running,reserved_waste,0.402,gcp
projects/cloudguard-demo/zones/us-central1-a/instances/instance-e974b951,ComputeInstance,europe-west1,e2-micro,backend-services,2026-02-22T01:14,running,reserved_waste,0.0084,gcp
/subscriptions/sub-abc/resourceGroups/rg-bd9b1c/providers/Microsoft.Compute/virtualMachines/vm-bd9b1c30,VirtualMachine,brazilsouth,Standard_NC6,unknown,2026-03-01T14:14,running,data_transfer_abuse,0.9,azure
i-f350a3eecc2449f1b,EC2,ap-southeast-1,m5.4xlarge,ml-team,2026-02-25T16:14,running,data_transfer_abuse,0.768,aws
